0 -nan -nan -nan -nan
0.0001 5894.92 4092.25 -1802.08 -7697
0.0002 2942.66 2045.33 -896.738 -3839.4
0.0003 1958.78 1363.02 -595.163 -2553.94
0.0004 1466.94 1021.87 -444.476 -1911.41
0.0005 1171.89 817.178 -354.123 -1526.01
0.0006 975.235 680.717 -293.928 -1269.16
0.0007 834.794 583.245 -250.96 -1085.75
0.0008 729.484 510.14 -218.754 -948.239
0.0009 647.594 453.282 -193.722 -841.316
0.001 582.094 407.795 -173.71 -755.804
0.0011 528.514 370.578 -157.347 -685.861
0.0012 483.873 339.564 -143.72 -627.593
0.0013 446.108 313.322 -132.197 -578.305
0.0014 413.744 290.829 -122.326 -536.07
0.0015 385.701 271.334 -113.778 -499.479
0.0016 361.168 254.277 -106.303 -467.471
0.0017 339.526 239.226 -99.7114 -439.237
0.0018 320.292 225.848 -93.8562 -414.148
0.0019 303.087 213.877 -88.6209 -391.708
0.002 287.605 203.104 -83.9122 -371.517
0.0021 273.6 193.357 -79.6547 -353.255
0.0022 260.871 184.496 -75.7869 -336.658
0.0023 249.251 176.406 -72.2577 -321.509
0.0024 238.602 168.99 -69.0247 -307.627
0.0025 228.807 162.167 -66.0524 -294.859
0.0026 219.767 155.869 -63.3105 -283.077
0.0027 211.398 150.037 -60.7734 -272.171
0.0028 203.628 144.622 -58.4191 -262.047
0.0029 196.396 139.581 -56.2286 -252.625
0.003 189.648 134.875 -54.1854 -243.833
0.0031 183.336 130.473 -52.2754 -235.611
0.0032 177.419 126.347 -50.4859 -227.905
0.0033 171.863 122.47 -48.8061 -220.669
0.0034 166.634 118.821 -47.226 -213.86
0.0035 161.705 115.381 -45.7373 -207.442
0.0036 157.051 112.132 -44.3322 -201.383
0.0037 152.649 109.059 -43.0039 -195.653
0.0038 148.48 106.148 -41.7464 -190.226
0.0039 144.526 103.385 -40.5541 -185.08
0.004 140.769 100.761 -39.4223 -180.192
0.0041 137.197 98.2652 -38.3463 -175.544
0.0042 133.796 95.888 -37.3223 -171.118
0.0043 130.553 93.6213 -36.3466 -166.9
0.0044 127.459 91.4577 -35.4158 -162.875
0.0045 124.503 89.3902 -34.527 -159.03
0.0046 121.675 87.4127 -33.6774 -155.353
0.0047 118.969 85.5193 -32.8646 -151.833
0.0048 116.376 83.7048 -32.0861 -148.462
0.0049 113.889 81.9644 -31.3398 -145.229
0.005 111.502 80.2936 -30.624 -142.126
0.0051 109.209 78.6883 -29.9366 -139.146
0.0052 107.005 77.1448 -29.2761 -136.281
0.0053 104.885 75.6595 -28.641 -133.526
0.0054 102.843 74.2292 -28.0298 -130.873
0.0055 100.876 72.851 -27.4413 -128.318
0.0056 98.98 71.5219 -26.8741 -125.854
0.0057 97.1506 70.2396 -26.3272 -123.478
0.0058 95.3847 69.0014 -25.7995 -121.184
0.0059 93.6789 67.8052 -25.2901 -118.969
0.006 92.0304 66.6489 -24.798 -116.828
0.0061 90.4362 65.5305 -24.3223 -114.758
0.0062 88.8938 64.4482 -23.8623 -112.756
0.0063 87.4006 63.4003 -23.4171 -110.818
0.0064 85.9544 62.3851 -22.9862 -108.941
0.0065 84.5529 61.4011 -22.5689 -107.122
0.0066 83.1942 60.447 -22.1644 -105.359
0.0067 81.8764 59.5214 -21.7723 -103.649
0.0068 80.5975 58.623 -21.392 -101.99
0.0069 79.356 57.7506 -21.0229 -100.379
0.007 78.1502 56.9032 -20.6647 -98.8149
0.0071 76.9786 56.0796 -20.3168 -97.2953
0.0072 75.8397 55.2789 -19.9787 -95.8185
0.0073 74.7323 54.5002 -19.6502 -94.3825
0.0074 73.6551 53.7425 -19.3307 -92.9858
0.0075 72.6068 53.005 -19.02 -91.6268
0.0076 71.5862 52.2869 -18.7177 -90.3039
0.0077 70.5924 51.5875 -18.4234 -89.0158
0.0078 69.6243 50.9061 -18.1369 -87.7611
0.0079 68.6809 50.2418 -17.8578 -86.5386
0.008 67.7612 49.5942 -17.5858 -85.347
0.0081 66.8644 48.9626 -17.3208 -84.1852
0.0082 65.9897 48.3464 -17.0624 -83.0521
0.0083 65.1362 47.745 -16.8104 -81.9466
0.0084 64.3032 47.158 -16.5646 -80.8678
0.0085 63.49 46.5848 -16.3247 -79.8147
0.0086 62.6959 46.0249 -16.0906 -78.7865
0.0087 61.9202 45.4779 -15.862 -77.7821
0.0088 61.1622 44.9433 -15.6387 -76.8009
0.0089 60.4215 44.4208 -15.4206 -75.8421
0.009 59.6973 43.9098 -15.2076 -74.9049
0.0091 58.9892 43.4101 -14.9993 -73.9885
0.0092 58.2967 42.9213 -14.7957 -73.0924
0.0093 57.6191 42.4429 -14.5966 -72.2158
0.0094 56.9562 41.9748 -14.4019 -71.3581
0.0095 56.3073 41.5165 -14.2114 -70.5187
0.0096 55.6721 41.0678 -14.0251 -69.6971
0.0097 55.05 40.6283 -13.8426 -68.8927
0.0098 54.4408 40.1978 -13.6641 -68.1049
0.0099 53.8441 39.776 -13.4892 -67.3333
0.01 53.2594 39.3626 -13.318 -66.5774
0.0101 52.6864 38.9574 -13.1503 -65.8367
0.0102 52.1247 38.5602 -12.986 -65.1107
0.0103 51.574 38.1707 -12.825 -64.399
0.0104 51.0341 37.7887 -12.6672 -63.7013
0.0105 50.5045 37.4139 -12.5125 -63.017
0.0106 49.9851 37.0462 -12.3608 -62.3459
0.0107 49.4754 36.6854 -12.2121 -61.6875
0.0108 48.9753 36.3313 -12.0662 -61.0416
0.0109 48.4845 35.9837 -11.9231 -60.4077
0.011 48.0027 35.6424 -11.7827 -59.7855
0.0111 47.5297 35.3073 -11.645 -59.1747
0.0112 47.0652 34.9781 -11.5098 -58.575
0.0113 46.609 34.6548 -11.377 -57.9861
0.0114 46.161 34.3372 -11.2467 -57.4077
0.0115 45.7208 34.0251 -11.1188 -56.8395
0.0116 45.2883 33.7183 -10.9931 -56.2814
0.0117 44.8632 33.4168 -10.8697 -55.7329
0.0118 44.4455 33.1205 -10.7484 -55.1939
0.0119 44.0348 32.8291 -10.6293 -54.6642
0.012 43.6311 32.5425 -10.5123 -54.1434
0.0121 43.2342 32.2607 -10.3972 -53.6314
0.0122 42.8438 31.9836 -10.2841 -53.1279
0.0123 42.4599 31.7109 -10.173 -52.6328
0.0124 42.0822 31.4426 -10.0637 -52.1459
0.0125 41.7106 31.1787 -9.95622 -51.6668
0.0126 41.3451 30.9189 -9.85053 -51.1956
0.0127 40.9853 30.6632 -9.74658 -50.7319
0.0128 40.6312 30.4115 -9.64433 -50.2756
0.0129 40.2827 30.1637 -9.54373 -49.8265
0.013 39.9397 29.9198 -9.44476 -49.3844
0.0131 39.6019 29.6795 -9.34736 -48.9493
0.0132 39.2694 29.4429 -9.25151 -48.5209
0.0133 38.9418 29.2099 -9.15716 -48.099
0.0134 38.6193 28.9803 -9.06429 -47.6836
0.0135 38.3016 28.7542 -8.97286 -47.2745
0.0136 37.9886 28.5314 -8.88283 -46.8715
0.0137 37.6803 28.3118 -8.79419 -46.4745
0.0138 37.3765 28.0954 -8.70689 -46.0834
0.0139 37.0771 27.8821 -8.62091 -45.698
0.014 36.7821 27.6719 -8.53622 -45.3183
0.0141 36.4913 27.4647 -8.45278 -44.9441
0.0142 36.2047 27.2603 -8.37059 -44.5752
0.0143 35.9221 27.0589 -8.2896 -44.2117
0.0144 35.6435 26.8602 -8.20979 -43.8533
0.0145 35.3688 26.6643 -8.13113 -43.4999
0.0146 35.0979 26.4711 -8.05361 -43.1516
0.0147 34.8308 26.2805 -7.9772 -42.808
0.0148 34.5673 26.0925 -7.90188 -42.4692
0.0149 34.3075 25.907 -7.82762 -42.1351
0.015 34.0511 25.7239 -7.7544 -41.8055
0.0151 33.7982 25.5434 -7.68221 -41.4804
0.0152 33.5487 25.3651 -7.61101 -41.1597
0.0153 33.3025 25.1893 -7.5408 -40.8433
0.0154 33.0595 25.0157 -7.47155 -40.531
0.0155 32.8197 24.8443 -7.40324 -40.2229
0.0156 32.583 24.6751 -7.33586 -39.9189
0.0157 32.3494 24.5081 -7.26938 -39.6188
0.0158 32.1189 24.3433 -7.20379 -39.3226
0.0159 31.8912 24.1805 -7.13907 -39.0303
0.016 31.6665 24.0197 -7.07521 -38.7417
0.0161 31.4445 23.8609 -7.01218 -38.4567
0.0162 31.2254 23.7041 -6.94998 -38.1754
0.0163 31.009 23.5492 -6.88859 -37.8976
0.0164 30.7953 23.3962 -6.82799 -37.6233
0.0165 30.5842 23.2451 -6.76816 -37.3524
0.0166 30.3757 23.0958 -6.7091 -37.0848
0.0167 30.1698 22.9482 -6.65079 -36.8206
0.0168 29.9663 22.8025 -6.59322 -36.5595
0.0169 29.7653 22.6584 -6.53637 -36.3017
0.017 29.5667 22.5161 -6.48023 -36.0469
0.0171 29.3704 22.3754 -6.42478 -35.7952
0.0172 29.1765 22.2364 -6.37002 -35.5465
0.0173 28.9849 22.0989 -6.31593 -35.3008
0.0174 28.7955 21.9631 -6.2625 -35.058
0.0175 28.6083 21.8288 -6.20972 -34.818
0.0176 28.4233 21.696 -6.15758 -34.5808
0.0177 28.2404 21.5648 -6.10607 -34.3464
0.0178 28.0596 21.435 -6.05517 -34.1147
0.0179 27.8808 21.3066 -6.00488 -33.8857
0.018 27.7041 21.1797 -5.95518 -33.6593
0.0181 27.5293 21.0542 -5.90607 -33.4354
0.0182 27.3566 20.9301 -5.85753 -33.2141
0.0183 27.1857 20.8073 -5.80956 -32.9953
0.0184 27.0167 20.6859 -5.76214 -32.7789
0.0185 26.8496 20.5658 -5.71528 -32.5649
0.0186 26.6844 20.447 -5.66895 -32.3533
0.0187 26.5209 20.3294 -5.62314 -32.144
0.0188 26.3592 20.2131 -5.57786 -31.9371
0.0189 26.1992 20.0981 -5.53309 -31.7323
0.019 26.041 19.9842 -5.48883 -31.5298
0.0191 25.8844 19.8716 -5.44506 -31.3295
0.0192 25.7296 19.7601 -5.40178 -31.1313
0.0193 25.5763 19.6497 -5.35898 -30.9353
0.0194 25.4247 19.5406 -5.31665 -30.7413
0.0195 25.2746 19.4325 -5.27479 -30.5494
0.0196 25.1261 19.3255 -5.23338 -30.3595
0.0197 24.9792 19.2197 -5.19242 -30.1716
0.0198 24.8338 19.1148 -5.15191 -29.9857
0.0199 24.6898 19.0111 -5.11184 -29.8016
0.02 24.5473 18.9084 -5.07219 -29.6195
0.0201 24.4063 18.8067 -5.03297 -29.4393
0.0202 24.2667 18.706 -4.99417 -29.2609
0.0203 24.1285 18.6063 -4.95577 -29.0843
0.0204 23.9917 18.5076 -4.91779 -28.9095
0.0205 23.8562 18.4099 -4.8802 -28.7364
0.0206 23.7221 18.3131 -4.843 -28.5651
0.0207 23.5893 18.2172 -4.80619 -28.3955
0.0208 23.4579 18.1223 -4.76976 -28.2276
0.0209 23.3277 18.0283 -4.7337 -28.0614
0.021 23.1987 17.9352 -4.69802 -27.8968
0.0211 23.0711 17.8429 -4.6627 -27.7338
0.0212 22.9446 17.7516 -4.62774 -27.5723
0.0213 22.8194 17.6611 -4.59314 -27.4125
0.0214 22.6953 17.5714 -4.55888 -27.2542
0.0215 22.5725 17.4826 -4.52497 -27.0974
0.0216 22.4508 17.3946 -4.49139 -26.9422
0.0217 22.3302 17.3074 -4.45815 -26.7884
0.0218 22.2108 17.221 -4.42524 -26.636
0.0219 22.0925 17.1354 -4.39266 -26.4852
0.022 21.9753 17.0506 -4.36039 -26.3357
0.0221 21.8592 16.9665 -4.32845 -26.1876
0.0222 21.7441 16.8832 -4.29681 -26.0409
0.0223 21.6301 16.8007 -4.26548 -25.8956
0.0224 21.5172 16.7189 -4.23445 -25.7516
0.0225 21.4053 16.6378 -4.20373 -25.609
0.0226 21.2944 16.5574 -4.1733 -25.4676
0.0227 21.1844 16.4778 -4.14315 -25.3276
0.0228 21.0755 16.3988 -4.1133 -25.1888
0.0229 20.9676 16.3206 -4.08373 -25.0513
0.023 20.8606 16.243 -4.05444 -24.915
0.0231 20.7545 16.1661 -4.02542 -24.78
0.0232 20.6494 16.0899 -3.99668 -24.6461
0.0233 20.5453 16.0143 -3.9682 -24.5135
0.0234 20.442 15.9394 -3.93999 -24.382
0.0235 20.3396 15.8651 -3.91204 -24.2517
0.0236 20.2381 15.7914 -3.88435 -24.1225
0.0237 20.1375 15.7184 -3.85691 -23.9945
0.0238 20.0378 15.6459 -3.82972 -23.8675
0.0239 19.9389 15.5741 -3.80278 -23.7417
0.024 19.8409 15.5029 -3.77609 -23.617
0.0241 19.7437 15.4323 -3.74964 -23.4933
0.0242 19.6473 15.3622 -3.72342 -23.3707
0.0243 19.5518 15.2928 -3.69745 -23.2492
0.0244 19.457 15.2239 -3.6717 -23.1287
0.0245 19.363 15.1555 -3.64619 -23.0092
0.0246 19.2698 15.0878 -3.6209 -22.8907
0.0247 19.1774 15.0205 -3.59583 -22.7733
0.0248 19.0858 14.9538 -3.57099 -22.6568
0.0249 18.9949 14.8877 -3.54637 -22.5413
0.025 18.9048 14.8221 -3.52196 -22.4267
0.0251 18.8154 14.757 -3.49776 -22.3131
0.0252 18.7267 14.6924 -3.47377 -22.2004
0.0253 18.6387 14.6284 -3.45 -22.0887
0.0254 18.5515 14.5648 -3.42642 -21.9779
0.0255 18.4649 14.5018 -3.40305 -21.868
0.0256 18.3791 14.4392 -3.37989 -21.759
0.0257 18.2939 14.3771 -3.35691 -21.6508
0.0258 18.2094 14.3155 -3.33414 -21.5436
0.0259 18.1256 14.2544 -3.31156 -21.4372
0.026 18.0424 14.1938 -3.28917 -21.3316
0.0261 17.9599 14.1336 -3.26696 -21.2269
0.0262 17.8781 14.0739 -3.24495 -21.123
0.0263 17.7969 14.0146 -3.22312 -21.02
0.0264 17.7163 13.9558 -3.20147 -20.9178
0.0265 17.6363 13.8975 -3.18 -20.8163
0.0266 17.557 13.8395 -3.15871 -20.7157
0.0267 17.4783 13.782 -3.13759 -20.6159
0.0268 17.4002 13.725 -3.11665 -20.5168
0.0269 17.3226 13.6683 -3.09588 -20.4185
0.027 17.2457 13.6121 -3.07528 -20.321
0.0271 17.1693 13.5563 -3.05485 -20.2242
0.0272 17.0936 13.5009 -3.03458 -20.1281
0.0273 17.0184 13.446 -3.01448 -20.0328
0.0274 16.9437 13.3914 -2.99454 -19.9383
0.0275 16.8696 13.3372 -2.97476 -19.8444
0.0276 16.7961 13.2834 -2.95514 -19.7513
0.0277 16.7231 13.23 -2.93568 -19.6588
0.0278 16.6507 13.177 -2.91637 -19.5671
0.0279 16.5788 13.1244 -2.89722 -19.476
0.028 16.5074 13.0721 -2.87821 -19.3856
0.0281 16.4366 13.0203 -2.85936 -19.2959
0.0282 16.3662 12.9687 -2.84065 -19.2069
0.0283 16.2964 12.9176 -2.8221 -19.1185
0.0284 16.2271 12.8668 -2.80368 -19.0308
0.0285 16.1583 12.8164 -2.78541 -18.9437
0.0286 16.0899 12.7663 -2.76729 -18.8572
0.0287 16.0221 12.7166 -2.7493 -18.7714
0.0288 15.9548 12.6672 -2.73145 -18.6862
0.0289 15.8879 12.6182 -2.71374 -18.6016
0.029 15.8215 12.5695 -2.69617 -18.5177
0.0291 15.7556 12.5211 -2.67873 -18.4343
0.0292 15.6901 12.4731 -2.66142 -18.3516
0.0293 15.6251 12.4254 -2.64425 -18.2694
0.0294 15.5606 12.378 -2.62721 -18.1878
0.0295 15.4965 12.331 -2.61029 -18.1068
0.0296 15.4329 12.2842 -2.5935 -18.0264
0.0297 15.3697 12.2378 -2.57684 -17.9465
0.0298 15.3069 12.1917 -2.5603 -17.8672
0.0299 15.2446 12.1459 -2.54389 -17.7885
0.03 15.1827 12.1004 -2.5276 -17.7103
0.0301 15.1212 12.0553 -2.51143 -17.6326
0.0302 15.0601 12.0104 -2.49538 -17.5555
0.0303 14.9995 11.9658 -2.47945 -17.479
0.0304 14.9393 11.9215 -2.46364 -17.4029
0.0305 14.8795 11.8775 -2.44794 -17.3274
0.0306 14.82 11.8338 -2.43236 -17.2524
0.0307 14.761 11.7904 -2.41689 -17.1779
0.0308 14.7024 11.7472 -2.40154 -17.1039
0.0309 14.6442 11.7043 -2.38629 -17.0305
0.031 14.5863 11.6618 -2.37116 -16.9575
0.0311 14.5289 11.6195 -2.35613 -16.885
0.0312 14.4718 11.5774 -2.34122 -16.813
0.0313 14.4151 11.5356 -2.32641 -16.7415
0.0314 14.3588 11.4941 -2.31171 -16.6705
0.0315 14.3028 11.4529 -2.29711 -16.5999
0.0316 14.2472 11.4119 -2.28262 -16.5299
0.0317 14.192 11.3712 -2.26823 -16.4602
0.0318 14.1371 11.3308 -2.25394 -16.3911
0.0319 14.0826 11.2906 -2.23975 -16.3224
0.032 14.0285 11.2506 -2.22567 -16.2541
0.0321 13.9747 11.2109 -2.21168 -16.1863
0.0322 13.9212 11.1714 -2.19779 -16.119
0.0323 13.8681 11.1322 -2.184 -16.0521
0.0324 13.8153 11.0933 -2.1703 -15.9856
0.0325 13.7628 11.0545 -2.1567 -15.9195
0.0326 13.7107 11.0161 -2.14319 -15.8539
0.0327 13.6589 10.9778 -2.12978 -15.7887
0.0328 13.6075 10.9398 -2.11646 -15.7239
0.0329 13.5563 10.902 -2.10323 -15.6596
0.033 13.5055 10.8644 -2.09009 -15.5956
0.0331 13.455 10.8271 -2.07704 -15.5321
0.0332 13.4048 10.79 -2.06408 -15.4689
0.0333 13.355 10.7531 -2.05121 -15.4062
0.0334 13.3054 10.7165 -2.03843 -15.3438
0.0335 13.2562 10.6801 -2.02573 -15.2819
0.0336 13.2072 10.6438 -2.01312 -15.2203
0.0337 13.1586 10.6078 -2.0006 -15.1592
0.0338 13.1102 10.572 -1.98816 -15.0984
0.0339 13.0621 10.5365 -1.9758 -15.0379
0.034 13.0144 10.5011 -1.96353 -14.9779
0.0341 12.9669 10.4659 -1.95133 -14.9182
0.0342 12.9197 10.431 -1.93922 -14.859
0.0343 12.8728 10.3962 -1.92719 -14.8
0.0344 12.8262 10.3617 -1.91524 -14.7415
0.0345 12.7799 10.3274 -1.90337 -14.6832
0.0346 12.7338 10.2932 -1.89157 -14.6254
0.0347 12.688 10.2593 -1.87986 -14.5679
0.0348 12.6425 10.2255 -1.86822 -14.5107
0.0349 12.5973 10.192 -1.85666 -14.4539
0.035 12.5523 10.1586 -1.84517 -14.3975
0.0351 12.5076 10.1254 -1.83376 -14.3414
0.0352 12.4632 10.0925 -1.82242 -14.2856
0.0353 12.419 10.0597 -1.81115 -14.2301
0.0354 12.3751 10.0271 -1.79996 -14.175
0.0355 12.3314 9.99463 -1.78884 -14.1202
0.0356 12.288 9.96239 -1.77779 -14.0658
0.0357 12.2448 9.93033 -1.76682 -14.0116
0.0358 12.2019 9.89845 -1.75591 -13.9578
0.0359 12.1593 9.86675 -1.74508 -13.9043
0.036 12.1168 9.83523 -1.73431 -13.8512
0.0361 12.0747 9.80388 -1.72361 -13.7983
0.0362 12.0327 9.77271 -1.71298 -13.7457
0.0363 11.9911 9.74171 -1.70241 -13.6935
0.0364 11.9496 9.71088 -1.69192 -13.6415
0.0365 11.9084 9.68021 -1.68149 -13.5899
0.0366 11.8674 9.64972 -1.67112 -13.5385
0.0367 11.8267 9.6194 -1.66082 -13.4875
0.0368 11.7862 9.58924 -1.65059 -13.4367
0.0369 11.7459 9.55924 -1.64042 -13.3863
0.037 11.7058 9.52941 -1.63031 -13.3361
0.0371 11.666 9.49974 -1.62026 -13.2862
0.0372 11.6264 9.47023 -1.61028 -13.2366
0.0373 11.587 9.44088 -1.60036 -13.1873
0.0374 11.5478 9.41169 -1.5905 -13.1383
0.0375 11.5088 9.38265 -1.5807 -13.0895
0.0376 11.4701 9.35377 -1.57097 -13.041
